feature	patch	classe	f1-score
LPQ	1	1	0.5333333333333333
LPQ	1	1	0.5333333333333333
LPQ	1	1	0.5333333333333333
LPQ	1	1	1.0
LPQ	1	1	0.5333333333333333
LPQ	3	1	0.35000000000000003
LPQ	3	1	1.0
LPQ	3	1	0.5333333333333334
LPQ	3	1	0.5333333333333334
LPQ	3	1	0.5333333333333334
LPQ	5	1	0.4
LPQ	5	1	0.9312169312169313
LPQ	5	1	0.463768115942029
LPQ	5	1	0.7701863354037268
LPQ	5	1	0.29665071770334933
LPQ	10	1	0.2142857142857143
LPQ	10	1	0.6
LPQ	10	1	0.5170068027210885
LPQ	10	1	0.6
LPQ	10	1	0.6839945280437757
LPQ	1	2	0.6666666666666666
LPQ	1	2	1.0
LPQ	1	2	1.0
LPQ	1	2	0.6666666666666666
LPQ	1	2	0.6666666666666666
LPQ	3	2	1.0
LPQ	3	2	1.0
LPQ	3	2	0.882051282051282
LPQ	3	2	0.882051282051282
LPQ	3	2	0.5333333333333334
LPQ	5	2	0.5037707390648567
LPQ	5	2	0.9312169312169313
LPQ	5	2	0.8054298642533937
LPQ	5	2	1.0
LPQ	5	2	0.8038277511961723
LPQ	10	2	0.5873015873015873
LPQ	10	2	0.8309798887462558
LPQ	10	2	0.9010989010989012
LPQ	10	2	0.9661959777492513
LPQ	10	2	0.8
LPQ	1	3	1.0
LPQ	1	3	0.5333333333333333
LPQ	1	3	0.3333333333333333
LPQ	1	3	0.5333333333333333
LPQ	1	3	0.6666666666666666
LPQ	3	3	0.5333333333333334
LPQ	3	3	0.4444444444444444
LPQ	3	3	0.5333333333333334
LPQ	3	3	0.5555555555555556
LPQ	3	3	0.5333333333333334
LPQ	5	3	0.7333333333333335
LPQ	5	3	0.7121212121212122
LPQ	5	3	0.6169772256728778
LPQ	5	3	0.7121212121212122
LPQ	5	3	0.8038277511961723
LPQ	10	3	0.6423815119467293
LPQ	10	3	0.7085714285714286
LPQ	10	3	0.5403726708074534
LPQ	10	3	0.8055555555555556
LPQ	10	3	0.4
LPQ	1	4	0.3333333333333333
LPQ	1	4	0.16666666666666666
LPQ	1	4	1.0
LPQ	1	4	0.6666666666666666
LPQ	1	4	0.6666666666666666
LPQ	3	4	0.5555555555555556
LPQ	3	4	0.4444444444444444
LPQ	3	4	0.5555555555555556
LPQ	3	4	0.6666666666666666
LPQ	3	4	0.4444444444444444
